Метод дихотомии для первой функции
n;a; b; (b - a) / 2; c; d; F(c); F(d)
18;-4.88784;-4.88224;0.00280034;-4.88438;-4.8857;5.14214;5.14095
19;-4.88784;-4.88438;0.0017307;-4.8857;-4.88652;5.14095;5.14021
20;-4.88784;-4.8857;0.00106963;-4.88652;-4.88702;5.14021;5.13976
21;-4.88784;-4.88652;0.00066107;-4.88702;-4.88734;5.13976;5.13948
22;-4.88784;-4.88702;0.000408563;-4.88734;-4.88753;5.13948;5.14016
23;-4.88753;-4.88702;0.000252506;-4.88722;-4.88734;5.13958;5.13948
24;-4.88753;-4.88722;0.000156057;-4.88734;-4.88741;5.13948;5.13974
25;-4.88741;-4.88722;9.64488e-05;-4.88729;-4.88734;5.13952;5.13948
26;-4.88741;-4.88729;5.96086e-05;-4.88734;-4.88737;5.13948;5.13958
27;-4.88737;-4.88729;3.68401e-05;-4.88732;-4.88734;5.13949;5.13948
28;-4.88737;-4.88732;2.27685e-05;-4.88734;-4.88735;5.13948;5.13952
29;-4.88735;-4.88732;1.40717e-05;-4.88733;-4.88734;5.13948;5.13948
30;-4.88735;-4.88733;8.69678e-06;-4.88734;-4.88734;5.13948;5.1395
31;-4.88734;-4.88733;5.3749e-06;-4.88733;-4.88734;5.13948;5.13948
32;-4.88734;-4.88733;3.32187e-06;-4.88733;-4.88733;5.13948;5.13948
33;-4.88734;-4.88733;2.05303e-06;-4.88733;-4.88734;5.13948;5.13948
34;-4.88734;-4.88733;1.26884e-06;-4.88734;-4.88734;5.13948;5.13948
35;-4.88734;-4.88733;7.84188e-07;-4.88733;-4.88734;5.13948;5.13948

